Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,goalHome,goalAway,hwinvalue,awinvalue,count
20230405,Вест Хэм,Ньюкасл Юнайтед,1,2,A,1.0,1.0,0.0,1.0,1
20230405,Манчестер Юнайтед,Брентфорд,1,0,H,1.0,0.0,1.0,0.0,1
20230404,Челси,Ливерпуль,0,0,D,0.0,0.0,0.5,0.5,1
20230404,Борнмут,Брайтон,0,1,A,0.0,1.0,0.0,1.0,1
20230404,Лестер,Астон Вилла,1,1,D,1.0,1.0,0.5,0.5,1
20230404,Лидс,Ноттингем Форест,2,1,H,1.0,1.0,1.0,0.0,1
20230403,Эвертон,Тоттенхэм,0,0,D,0.0,0.0,0.5,0.5,1
20230402,Ньюкасл Юнайтед,Манчестер Юнайтед,0,0,D,0.0,0.0,0.5,0.5,1
20230402,Вест Хэм,Саутгемптон,1,0,H,1.0,0.0,1.0,0.0,1
20230401,Челси,Астон Вилла,0,1,A,0.0,1.0,0.0,1.0,1
20230401,Арсенал,Лидс,1,0,H,1.0,0.0,1.0,0.0,1
20230401,Борнмут,Фулхэм,0,1,A,0.0,1.0,0.0,1.0,1
20230401,Брайтон,Брентфорд,2,2,D,1.0,1.0,0.5,0.5,1
20230401,Кристал Пэлас,Лестер,0,0,D,0.0,0.0,0.5,0.5,1
20230401,Ноттингем Форест,Вулверхэмптон,1,0,H,1.0,0.0,1.0,0.0,1
20230401,Манчестер Сити,Ливерпуль,1,1,D,1.0,1.0,0.5,0.5,1
20230319,Арсенал,Кристал Пэлас,2,0,H,1.0,0.0,1.0,0.0,1
20230318,Челси,Эвертон,0,0,D,0.0,0.0,0.5,0.5,1
20230318,Астон Вилла,Борнмут,1,0,H,1.0,0.0,1.0,0.0,1
20230318,Брентфорд,Лестер,1,0,H,1.0,0.0,1.0,0.0,1
20230318,Вулверхэмптон,Лидс,0,1,A,0.0,1.0,0.0,1.0,1
20230318,Саутгемптон,Тоттенхэм,0,1,A,0.0,1.0,0.0,1.0,1
20230317,Ноттингем Форест,Ньюкасл Юнайтед,1,1,D,1.0,1.0,0.5,0.5,1
20230315,Брайтон,Кристал Пэлас,1,0,H,1.0,0.0,1.0,0.0,1
20230315,Саутгемптон,Брентфорд,0,1,A,0.0,1.0,0.0,1.0,1
20230312,Ньюкасл Юнайтед,Вулверхэмптон,1,0,H,1.0,0.0,1.0,0.0,1
20230312,Вест Хэм,Астон Вилла,1,1,D,1.0,1.0,0.5,0.5,1
20230312,Манчестер Юнайтед,Саутгемптон,0,0,D,0.0,0.0,0.5,0.5,1
20230312,Фулхэм,Арсенал,0,3,A,0.0,1.0,0.0,1.0,1
20230311,Кристал Пэлас,Манчестер Сити,0,0,D,0.0,0.0,0.5,0.5,1
20230311,Лестер,Челси,1,2,A,1.0,1.0,0.0,1.0,1
20230311,Лидс,Брайтон,1,1,D,1.0,1.0,0.5,0.5,1
20230311,Тоттенхэм,Ноттингем Форест,2,0,H,1.0,0.0,1.0,0.0,1
20230311,Эвертон,Брентфорд,1,0,H,1.0,0.0,1.0,0.0,1
20230311,Борнмут,Ливерпуль,1,0,H,1.0,0.0,1.0,0.0,1
20230306,Брентфорд,Фулхэм,1,1,D,1.0,1.0,0.5,0.5,1
20230305,Ливерпуль,Манчестер Юнайтед,1,0,H,1.0,0.0,1.0,0.0,1
20230305,Ноттингем Форест,Эвертон,1,2,A,1.0,1.0,0.0,1.0,1
20230304,Саутгемптон,Лестер,1,0,H,1.0,0.0,1.0,0.0,1
20230304,Арсенал,Борнмут,0,1,A,0.0,1.0,0.0,1.0,1
20230304,Астон Вилла,Кристал Пэлас,1,0,H,1.0,0.0,1.0,0.0,1
20230304,Брайтон,Вест Хэм,1,0,H,1.0,0.0,1.0,0.0,1
20230304,Вулверхэмптон,Тоттенхэм,0,0,D,0.0,0.0,0.5,0.5,1
20230304,Челси,Лидс,0,0,D,0.0,0.0,0.5,0.5,1
20230304,Манчестер Сити,Ньюкасл Юнайтед,1,0,H,1.0,0.0,1.0,0.0,1
20230301,Ливерпуль,Вулверхэмптон,0,0,D,0.0,0.0,0.5,0.5,1
20230301,Арсенал,Эвертон,2,0,H,1.0,0.0,1.0,0.0,1
20230226,Тоттенхэм,Челси,0,0,D,0.0,0.0,0.5,0.5,1
20230225,Кристал Пэлас,Ливерпуль,0,0,D,0.0,0.0,0.5,0.5,1
20230225,Борнмут,Манчестер Сити,0,3,A,0.0,1.0,0.0,1.0,1
20230225,Вест Хэм,Ноттингем Форест,0,0,D,0.0,0.0,0.5,0.5,1
20230225,Лестер,Арсенал,0,0,D,0.0,0.0,0.5,0.5,1
20230225,Лидс,Саутгемптон,0,0,D,0.0,0.0,0.5,0.5,1
20230225,Эвертон,Астон Вилла,0,0,D,0.0,0.0,0.5,0.5,1
20230224,Фулхэм,Вулверхэмптон,0,1,A,0.0,1.0,0.0,1.0,1
20230219,Тоттенхэм,Вест Хэм,0,0,D,0.0,0.0,0.5,0.5,1
20230219,Манчестер Юнайтед,Лестер,1,0,H,1.0,0.0,1.0,0.0,1
20230218,Ньюкасл Юнайтед,Ливерпуль,0,2,A,0.0,1.0,0.0,1.0,1
20230218,Брайтон,Фулхэм,0,0,D,0.0,0.0,0.5,0.5,1
20230218,Брентфорд,Кристал Пэлас,0,0,D,0.0,0.0,0.5,0.5,1
20230218,Вулверхэмптон,Борнмут,0,0,D,0.0,0.0,0.5,0.5,1
20230218,Ноттингем Форест,Манчестер Сити,0,1,A,0.0,1.0,0.0,1.0,1
20230218,Челси,Саутгемптон,0,1,A,0.0,1.0,0.0,1.0,1
20230218,Эвертон,Лидс,0,0,D,0.0,0.0,0.5,0.5,1
20230218,Астон Вилла,Арсенал,2,1,H,1.0,1.0,1.0,0.0,1
20230215,Арсенал,Манчестер Сити,1,1,D,1.0,1.0,0.5,0.5,1
20230213,Ливерпуль,Эвертон,1,0,H,1.0,0.0,1.0,0.0,1
20230212,Манчестер Сити,Астон Вилла,3,0,H,1.0,0.0,1.0,0.0,1
20230212,Лидс,Манчестер Юнайтед,0,0,D,0.0,0.0,0.5,0.5,1
20230211,Борнмут,Ньюкасл Юнайтед,1,1,D,1.0,1.0,0.5,0.5,1
20230211,Арсенал,Брентфорд,0,0,D,0.0,0.0,0.5,0.5,1
20230211,Кристал Пэлас,Брайтон,0,0,D,0.0,0.0,0.5,0.5,1
20230211,Лестер,Тоттенхэм,3,1,H,1.0,1.0,1.0,0.0,1
20230211,Саутгемптон,Вулверхэмптон,1,0,H,1.0,0.0,1.0,0.0,1
20230211,Фулхэм,Ноттингем Форест,1,0,H,1.0,0.0,1.0,0.0,1
20230211,Вест Хэм,Челси,1,1,D,1.0,1.0,0.5,0.5,1
20230208,Манчестер Юнайтед,Лидс,0,1,A,0.0,1.0,0.0,1.0,1
20230205,Тоттенхэм,Манчестер Сити,1,0,H,1.0,0.0,1.0,0.0,1
20230205,Ноттингем Форест,Лидс,1,0,H,1.0,0.0,1.0,0.0,1
20230204,Ньюкасл Юнайтед,Вест Хэм,1,1,D,1.0,1.0,0.5,0.5,1
20230204,Астон Вилла,Лестер,2,3,A,1.0,1.0,0.0,1.0,1
20230204,Брайтон,Борнмут,0,0,D,0.0,0.0,0.5,0.5,1
20230204,Брентфорд,Саутгемптон,2,0,H,1.0,0.0,1.0,0.0,1
20230204,Вулверхэмптон,Ливерпуль,2,0,H,1.0,0.0,1.0,0.0,1
20230204,Манчестер Юнайтед,Кристал Пэлас,1,0,H,1.0,0.0,1.0,0.0,1
20230204,Эвертон,Арсенал,0,0,D,0.0,0.0,0.5,0.5,1
20230203,Челси,Фулхэм,0,0,D,0.0,0.0,0.5,0.5,1
20230123,Фулхэм,Тоттенхэм,0,1,A,0.0,1.0,0.0,1.0,1
20230122,Арсенал,Манчестер Юнайтед,1,1,D,1.0,1.0,0.5,0.5,1
