Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,goalHome,goalAway,hwinvalue,awinvalue,count
2023-04-23,Барселона,Атлетико,1,0,H,1.0,0.0,1.0,0.0,1
2023-04-23,Эльче,Валенсия,0,2,A,0.0,1.0,0.0,1.0,1
2023-04-22,Реал Мадрид,Сельта,1,0,H,1.0,0.0,1.0,0.0,1
2023-04-22,Вальядолид,Жирона,1,0,H,1.0,0.0,1.0,0.0,1
2023-04-22,Реал Сосьедад,Райо Вальекано,0,0,D,0.0,0.0,0.5,0.5,1
2023-04-22,Альмерия,Атлетик,0,1,A,0.0,1.0,0.0,1.0,1
2023-04-22,Осасуна,Бетис,3,1,H,1.0,1.0,1.0,0.0,1
2023-04-21,Эспаньол,Кадис,0,0,D,0.0,0.0,0.5,0.5,1
2023-04-17,Сельта,Мальорка,0,1,A,0.0,1.0,0.0,1.0,1
2023-04-16,Валенсия,Севилья,0,0,D,0.0,0.0,0.5,0.5,1
2023-04-16,Атлетико,Альмерия,2,1,H,1.0,1.0,1.0,0.0,1
2023-04-16,Хетафе,Барселона,0,0,D,0.0,0.0,0.5,0.5,1
2023-04-16,Жирона,Эльче,1,0,H,1.0,0.0,1.0,0.0,1
2023-04-15,Кадис,Реал Мадрид,0,0,D,0.0,0.0,0.5,0.5,1
2023-04-15,Бетис,Эспаньол,2,0,H,1.0,0.0,1.0,0.0,1
2023-04-15,Атлетик,Реал Сосьедад,1,0,H,1.0,0.0,1.0,0.0,1
2023-04-15,Вильярреал,Вальядолид,0,2,A,0.0,1.0,0.0,1.0,1
2023-04-14,Райо Вальекано,Осасуна,2,0,H,1.0,0.0,1.0,0.0,1
2023-04-10,Барселона,Жирона,0,0,D,0.0,0.0,0.5,0.5,1
2023-04-09,Райо Вальекано,Атлетико,0,2,A,0.0,1.0,0.0,1.0,1
2023-04-09,Альмерия,Валенсия,0,0,D,0.0,0.0,0.5,0.5,1
2023-04-09,Бетис,Кадис,0,0,D,0.0,0.0,0.5,0.5,1
2023-04-09,Вальядолид,Мальорка,1,0,H,1.0,0.0,1.0,0.0,1
2023-04-08,Реал Мадрид,Вильярреал,1,1,D,1.0,1.0,0.5,0.5,1
2023-04-08,Реал Сосьедад,Хетафе,1,0,H,1.0,0.0,1.0,0.0,1
2023-04-08,Эспаньол,Атлетик,0,1,A,0.0,1.0,0.0,1.0,1
2023-04-08,Осасуна,Эльче,0,1,A,0.0,1.0,0.0,1.0,1
2023-04-07,Севилья,Сельта,1,0,H,1.0,0.0,1.0,0.0,1
2023-04-03,Валенсия,Райо Вальекано,0,1,A,0.0,1.0,0.0,1.0,1
2023-04-02,Атлетико,Бетис,0,0,D,0.0,0.0,0.5,0.5,1
2023-04-02,Вильярреал,Реал Сосьедад,0,0,D,0.0,0.0,0.5,0.5,1
2023-04-02,Реал Мадрид,Вальядолид,4,0,H,1.0,0.0,1.0,0.0,1
2023-04-02,Сельта,Альмерия,2,2,D,1.0,1.0,0.5,0.5,1
2023-04-01,Эльче,Барселона,0,1,A,0.0,1.0,0.0,1.0,1
2023-04-01,Кадис,Севилья,0,0,D,0.0,0.0,0.5,0.5,1
2023-04-01,Атлетик,Хетафе,0,0,D,0.0,0.0,0.5,0.5,1
2023-04-01,Жирона,Эспаньол,0,0,D,0.0,0.0,0.5,0.5,1
2023-03-31,Мальорка,Осасуна,0,0,D,0.0,0.0,0.5,0.5,1
2023-03-19,Барселона,Реал Мадрид,1,1,D,1.0,1.0,0.5,0.5,1
2023-03-19,Хетафе,Севилья,0,0,D,0.0,0.0,0.5,0.5,1
2023-03-19,Осасуна,Вильярреал,0,1,A,0.0,1.0,0.0,1.0,1
2023-03-19,Реал Сосьедад,Эльче,0,0,D,0.0,0.0,0.5,0.5,1
2023-03-19,Бетис,Мальорка,0,0,D,0.0,0.0,0.5,0.5,1
2023-03-18,Атлетико,Валенсия,1,0,H,1.0,0.0,1.0,0.0,1
2023-03-18,Эспаньол,Сельта,0,2,A,0.0,1.0,0.0,1.0,1
2023-03-18,Райо Вальекано,Жирона,2,1,H,1.0,1.0,1.0,0.0,1
2023-03-18,Альмерия,Кадис,0,0,D,0.0,0.0,0.5,0.5,1
2023-03-17,Вальядолид,Атлетик,0,1,A,0.0,1.0,0.0,1.0,1
2023-03-13,Жирона,Атлетико,0,0,D,0.0,0.0,0.5,0.5,1
2023-03-12,Атлетик,Барселона,0,1,A,0.0,1.0,0.0,1.0,1
2023-03-12,Вильярреал,Бетис,0,1,A,0.0,1.0,0.0,1.0,1
2023-03-12,Севилья,Альмерия,1,1,D,1.0,1.0,0.5,0.5,1
2023-03-12,Мальорка,Реал Сосьедад,0,1,A,0.0,1.0,0.0,1.0,1
2023-03-11,Валенсия,Осасуна,0,0,D,0.0,0.0,0.5,0.5,1
2023-03-11,Сельта,Райо Вальекано,0,0,D,0.0,0.0,0.5,0.5,1
2023-03-11,Эльче,Вальядолид,0,1,A,0.0,1.0,0.0,1.0,1
2023-03-11,Реал Мадрид,Эспаньол,2,1,H,1.0,1.0,1.0,0.0,1
2023-03-10,Кадис,Хетафе,1,0,H,1.0,0.0,1.0,0.0,1
2023-03-06,Осасуна,Сельта,0,0,D,0.0,0.0,0.5,0.5,1
2023-03-05,Бетис,Реал Мадрид,0,0,D,0.0,0.0,0.5,0.5,1
2023-03-05,Райо Вальекано,Атлетик,0,0,D,0.0,0.0,0.5,0.5,1
2023-03-05,Барселона,Валенсия,1,0,H,1.0,0.0,1.0,0.0,1
2023-03-05,Вальядолид,Эспаньол,1,0,H,1.0,0.0,1.0,0.0,1
2023-03-04,Атлетико,Севилья,2,1,H,1.0,1.0,1.0,0.0,1
2023-03-04,Мальорка,Эльче,0,0,D,0.0,0.0,0.5,0.5,1
2023-03-04,Альмерия,Вильярреал,0,0,D,0.0,0.0,0.5,0.5,1
2023-03-04,Хетафе,Жирона,3,0,H,1.0,0.0,1.0,0.0,1
2023-03-03,Реал Сосьедад,Кадис,0,0,D,0.0,0.0,0.5,0.5,1
2023-02-27,Вильярреал,Хетафе,1,1,D,1.0,1.0,0.5,0.5,1
2023-02-26,Севилья,Осасуна,0,1,A,0.0,1.0,0.0,1.0,1
2023-02-26,Альмерия,Барселона,1,0,H,1.0,0.0,1.0,0.0,1
2023-02-26,Сельта,Вальядолид,2,0,H,1.0,0.0,1.0,0.0,1
2023-02-26,Атлетик,Жирона,1,3,A,1.0,1.0,0.0,1.0,1
2023-02-25,Валенсия,Реал Сосьедад,1,0,H,1.0,0.0,1.0,0.0,1
2023-02-25,Реал Мадрид,Атлетико,0,0,D,0.0,0.0,0.5,0.5,1
2023-02-25,Кадис,Райо Вальекано,0,0,D,0.0,0.0,0.5,0.5,1
2023-02-25,Эспаньол,Мальорка,1,1,D,1.0,1.0,0.5,0.5,1
2023-02-24,Эльче,Бетис,2,0,H,1.0,0.0,1.0,0.0,1
2023-02-20,Хетафе,Валенсия,0,0,D,0.0,0.0,0.5,0.5,1
2023-02-19,Барселона,Кадис,2,0,H,1.0,0.0,1.0,0.0,1
2023-02-19,Атлетико,Атлетик,0,0,D,0.0,0.0,0.5,0.5,1
2023-02-19,Райо Вальекано,Севилья,0,1,A,0.0,1.0,0.0,1.0,1
2023-02-19,Эльче,Эспаньол,0,0,D,0.0,0.0,0.5,0.5,1
2023-02-18,Осасуна,Реал Мадрид,0,0,D,0.0,0.0,0.5,0.5,1
2023-02-18,Мальорка,Вильярреал,2,1,H,1.0,1.0,1.0,0.0,1
2023-02-18,Бетис,Вальядолид,2,1,H,1.0,1.0,1.0,0.0,1
2023-02-18,Реал Сосьедад,Сельта,1,0,H,1.0,0.0,1.0,0.0,1
2023-02-17,Жирона,Альмерия,4,0,H,1.0,0.0,1.0,0.0,1
2023-02-15,Реал Мадрид,Эльче,3,0,H,1.0,0.0,1.0,0.0,1
2023-02-13,Эспаньол,Реал Сосьедад,0,1,A,0.0,1.0,0.0,1.0,1
2023-02-12,Вильярреал,Барселона,0,1,A,0.0,1.0,0.0,1.0,1
2023-02-12,Вальядолид,Осасуна,0,0,D,0.0,0.0,0.5,0.5,1
2023-02-12,Сельта,Атлетико,0,0,D,0.0,0.0,0.5,0.5,1
2023-02-12,Хетафе,Райо Вальекано,0,1,A,0.0,1.0,0.0,1.0,1
2023-02-11,Валенсия,Атлетик,1,1,D,1.0,1.0,0.5,0.5,1
2023-02-11,Севилья,Мальорка,2,0,H,1.0,0.0,1.0,0.0,1
2023-02-11,Альмерия,Бетис,1,2,A,1.0,1.0,0.0,1.0,1
2023-02-10,Кадис,Жирона,2,0,H,1.0,0.0,1.0,0.0,1
2023-02-06,Райо Вальекано,Альмерия,0,0,D,0.0,0.0,0.5,0.5,1
2023-02-05,Барселона,Севилья,0,0,D,0.0,0.0,0.5,0.5,1
2023-02-05,Реал Сосьедад,Вальядолид,0,0,D,0.0,0.0,0.5,0.5,1
2023-02-05,Жирона,Валенсия,0,0,D,0.0,0.0,0.5,0.5,1
2023-02-05,Мальорка,Реал Мадрид,1,0,H,1.0,0.0,1.0,0.0,1
2023-02-04,Бетис,Сельта,2,2,D,1.0,1.0,0.5,0.5,1
2023-02-04,Атлетико,Хетафе,0,0,D,0.0,0.0,0.5,0.5,1
2023-02-04,Эльче,Вильярреал,2,1,H,1.0,1.0,1.0,0.0,1
2023-02-04,Эспаньол,Осасуна,0,1,A,0.0,1.0,0.0,1.0,1
2023-02-03,Атлетик,Кадис,3,1,H,1.0,1.0,1.0,0.0,1
2023-02-02,Реал Мадрид,Валенсия,0,0,D,0.0,0.0,0.5,0.5,1
2023-02-01,Бетис,Барселона,0,0,D,0.0,0.0,0.5,0.5,1
