Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,goalHome,goalAway,hwinvalue,awinvalue,count
2023-06-03,Кремонезе,Салернитана,1,0,H,1.0,0.0,1.0,0.0,1
2023-06-03,Эмполи,Лацио,0,0,D,0.0,0.0,0.5,0.5,1
2023-06-03,Торино,Интер,0,1,A,0.0,1.0,0.0,1.0,1
2023-06-02,Сассуоло,Фиорентина,0,0,D,0.0,0.0,0.5,0.5,1
2023-05-28,Ювентус,Милан,0,1,A,0.0,1.0,0.0,1.0,1
2023-05-28,Лацио,Кремонезе,2,0,H,1.0,0.0,1.0,0.0,1
2023-05-28,Болонья,Наполи,0,1,A,0.0,1.0,0.0,1.0,1
2023-05-28,Монца,Лечче,0,0,D,0.0,0.0,0.5,0.5,1
2023-05-28,Верона,Эмполи,0,0,D,0.0,0.0,0.5,0.5,1
2023-05-27,Интер,Аталанта,2,1,H,1.0,1.0,1.0,0.0,1
2023-05-27,Фиорентина,Рома,0,1,A,0.0,1.0,0.0,1.0,1
2023-05-27,Салернитана,Удинезе,1,2,A,1.0,1.0,0.0,1.0,1
2023-05-27,Специя,Торино,0,1,A,0.0,1.0,0.0,1.0,1
2023-05-26,Сампдория,Сассуоло,1,2,A,1.0,1.0,0.0,1.0,1
2023-05-22,Эмполи,Ювентус,2,0,H,1.0,0.0,1.0,0.0,1
2023-05-22,Рома,Салернитана,0,1,A,0.0,1.0,0.0,1.0,1
2023-05-21,Удинезе,Лацио,0,0,D,0.0,0.0,0.5,0.5,1
2023-05-21,Наполи,Интер,0,0,D,0.0,0.0,0.5,0.5,1
2023-05-21,Торино,Фиорентина,0,0,D,0.0,0.0,0.5,0.5,1
2023-05-21,Лечче,Специя,0,0,D,0.0,0.0,0.5,0.5,1
2023-05-20,Милан,Сампдория,3,1,H,1.0,1.0,1.0,0.0,1
2023-05-20,Аталанта,Верона,1,1,D,1.0,1.0,0.5,0.5,1
2023-05-20,Кремонезе,Болонья,0,3,A,0.0,1.0,0.0,1.0,1
2023-05-19,Сассуоло,Монца,1,0,H,1.0,0.0,1.0,0.0,1
2023-05-15,Сампдория,Эмполи,1,0,H,1.0,0.0,1.0,0.0,1
2023-05-14,Ювентус,Кремонезе,0,0,D,0.0,0.0,0.5,0.5,1
2023-05-14,Болонья,Рома,0,0,D,0.0,0.0,0.5,0.5,1
2023-05-14,Монца,Наполи,1,0,H,1.0,0.0,1.0,0.0,1
2023-05-14,Фиорентина,Удинезе,1,0,H,1.0,0.0,1.0,0.0,1
2023-05-14,Верона,Торино,0,1,A,0.0,1.0,0.0,1.0,1
2023-05-13,Интер,Сассуоло,1,0,H,1.0,0.0,1.0,0.0,1
