team,Ph1,hwinvalue1,goalHome1,FTHGh1,FTAGh1,goalHome1 %,Pa1,awinvalue1,goalAway1,FTHGa1,FTAGa1,goalAway1 %,W1,G1,GF1,GA1,"wpc1, %","pyth1, %",Ph2,hwinvalue2,goalHome2,FTHGh2,FTAGh2,goalHome2 %,Pa2,awinvalue2,goalAway2,FTHGa2,FTAGa2,goalAway2 %,W2,G2,GF2,GA2,"wpc2, %","pyth2, %",meanGoal1,meanGoal2
Арсенал,7,5.0,5.0,7,3,70.0,9,7.0,6.0,1,9,70.0,12.0,16,16,4,80.0,90.0,11,6.5,7.0,11,5,60.0,9,6.0,6.0,6,11,70.0,12.5,20,22,11,60.0,80.0,1.0,1.0
Астон Вилла,8,5.0,4.0,7,4,50.0,9,2.5,3.0,7,3,30.0,7.5,17,10,11,40.0,50.0,10,7.5,8.0,10,5,80.0,9,3.5,3.0,7,3,30.0,11.0,19,13,12,60.0,50.0,0.875,1.0
Борнмут,9,4.0,3.0,4,6,30.0,8,2.5,2.0,15,4,20.0,6.5,17,8,21,40.0,10.0,9,4.0,5.0,6,11,60.0,10,4.0,3.0,5,3,30.0,8.0,19,9,16,40.0,20.0,0.4444444444444444,0.6666666666666666
Брайтон,8,3.5,3.0,6,6,40.0,8,5.0,5.0,6,9,60.0,8.5,16,15,12,50.0,60.0,9,5.5,4.0,8,5,40.0,9,5.5,7.0,5,7,80.0,11.0,18,15,10,60.0,70.0,0.75,0.8888888888888888
Брентфорд,8,5.0,4.0,8,4,50.0,9,3.0,4.0,10,5,40.0,8.0,17,13,14,50.0,50.0,10,7.5,7.0,10,2,70.0,9,3.5,3.0,6,4,30.0,11.0,19,14,8,60.0,80.0,1.0,1.0
Вест Хэм,9,3.0,4.0,4,8,40.0,8,2.5,1.0,4,1,10.0,5.5,17,5,12,30.0,10.0,9,5.0,8.0,9,7,90.0,10,4.5,5.0,8,8,50.0,9.5,19,17,15,50.0,60.0,0.4444444444444444,1.0
Вулверхэмптон,9,4.5,3.0,4,6,30.0,8,3.5,3.0,4,3,40.0,8.0,17,7,10,50.0,30.0,9,6.5,5.0,6,1,60.0,10,3.0,3.0,10,3,30.0,9.5,19,9,11,50.0,40.0,0.4444444444444444,0.6666666666666666
Кристал Пэлас,8,3.0,4.0,4,6,50.0,8,5.0,4.0,2,6,50.0,8.0,16,10,8,50.0,60.0,10,5.5,2.0,4,3,20.0,10,2.0,1.0,8,1,10.0,7.5,20,5,11,40.0,20.0,0.5,0.4
Лестер,8,4.5,3.0,6,4,40.0,9,5.5,7.0,8,10,80.0,10.0,17,16,12,60.0,60.0,10,4.0,6.0,9,11,60.0,9,2.0,1.0,12,3,10.0,6.0,19,12,23,30.0,20.0,0.75,0.9
Ливерпуль,9,5.0,6.0,13,7,70.0,7,3.0,3.0,4,5,40.0,8.0,16,18,11,50.0,70.0,9,6.5,6.0,8,3,70.0,11,5.5,5.0,7,8,50.0,12.0,20,16,10,60.0,70.0,1.4444444444444444,0.8888888888888888
Лидс,8,2.5,4.0,5,7,50.0,8,3.5,4.0,7,5,50.0,6.0,16,10,14,40.0,30.0,10,5.5,6.0,7,7,60.0,10,3.5,3.0,7,3,30.0,9.0,20,10,14,40.0,30.0,0.625,0.7
Манчестер Сити,9,7.0,8.0,17,4,90.0,7,4.5,4.0,2,5,60.0,11.5,16,22,6,70.0,90.0,9,7.0,7.0,13,3,80.0,10,7.0,6.0,3,10,60.0,14.0,19,23,6,70.0,90.0,1.8888888888888888,1.4444444444444444
Манчестер Юнайтед,7,5.0,4.0,5,2,60.0,9,4.5,4.0,11,5,40.0,9.5,16,10,13,60.0,40.0,10,8.0,7.0,7,1,70.0,9,5.0,4.0,3,5,40.0,13.0,19,12,4,70.0,90.0,0.7142857142857143,0.7
Ноттингем Форест,9,5.0,5.0,6,4,60.0,8,2.0,0.0,9,0,0.0,7.0,17,6,13,40.0,20.0,9,4.5,6.0,8,7,70.0,10,4.5,4.0,6,4,40.0,9.0,19,12,13,50.0,50.0,0.6666666666666666,0.8888888888888888
Ньюкасл Юнайтед,9,6.5,4.0,6,1,40.0,8,6.0,5.0,1,10,60.0,12.5,17,16,2,70.0,100.0,8,3.5,3.0,7,5,40.0,10,4.5,5.0,7,6,50.0,8.0,18,13,12,40.0,50.0,0.6666666666666666,0.875
Саутгемптон,8,3.5,2.0,3,5,20.0,9,1.5,3.0,11,3,30.0,5.0,17,6,16,30.0,10.0,10,4.0,2.0,2,4,20.0,9,4.0,4.0,8,5,40.0,8.0,19,7,12,40.0,30.0,0.375,0.2
Тоттенхэм,9,4.0,4.0,6,9,40.0,8,4.0,4.0,4,4,50.0,8.0,17,10,13,50.0,40.0,9,5.0,5.0,6,6,60.0,10,4.5,5.0,12,6,50.0,9.5,19,12,18,50.0,30.0,0.6666666666666666,0.6666666666666666
