team,Ph1,hwinvalue1,goalHome1,FTHGh1,FTAGh1,goalHome1 %,Pa1,awinvalue1,goalAway1,FTHGa1,FTAGa1,goalAway1 %,W1,G1,GF1,GA1,"wpc1, %","pyth1, %",Ph2,hwinvalue2,goalHome2,FTHGh2,FTAGh2,goalHome2 %,Pa2,awinvalue2,goalAway2,FTHGa2,FTAGa2,goalAway2 %,W2,G2,GF2,GA2,"wpc2, %","pyth2, %",meanGoal1,meanGoal2
Арсенал,10,7.0,5.0,9,2,50.0,10,6.0,6.0,6,10,60.0,13.0,20,19,8,60.0,80.0,9,5.5,4.0,7,4,40.0,9,4.5,5.0,9,7,60.0,10.0,18,14,13,60.0,50.0,0.9,0.7777777777777778
Астон Вилла,9,4.0,5.0,5,7,60.0,9,3.0,2.0,7,2,20.0,7.0,18,7,14,40.0,20.0,10,4.5,4.0,7,7,40.0,10,6.5,6.0,4,7,60.0,11.0,20,14,11,60.0,60.0,0.5555555555555556,0.7
Брайтон,9,5.0,4.0,6,5,40.0,9,1.5,1.0,7,1,10.0,6.5,18,7,12,40.0,30.0,10,3.0,2.0,3,8,20.0,10,7.0,5.0,2,6,50.0,10.0,20,9,10,50.0,40.0,0.6666666666666666,0.3
Брентфорд,9,3.0,3.0,3,7,30.0,9,3.5,4.0,10,6,40.0,6.5,18,9,17,40.0,20.0,10,5.0,2.0,3,3,20.0,10,3.0,4.0,9,4,40.0,8.0,20,7,12,40.0,30.0,0.3333333333333333,0.3
Бёрнли,7,3.5,3.0,6,4,40.0,9,2.5,3.0,9,4,30.0,6.0,16,10,13,40.0,40.0,12,3.5,2.0,3,9,20.0,10,4.0,3.0,5,4,30.0,7.5,22,7,14,30.0,20.0,0.8571428571428571,0.25
Вест Хэм,9,4.5,6.0,6,6,70.0,11,5.5,4.0,6,8,40.0,10.0,20,14,12,50.0,60.0,10,5.5,6.0,7,5,60.0,8,4.0,4.0,4,6,50.0,9.5,18,13,9,50.0,70.0,0.6666666666666666,0.7
Вулверхэмптон,9,4.0,2.0,3,4,20.0,9,5.0,2.0,1,2,20.0,9.0,18,5,5,50.0,50.0,10,4.5,6.0,10,9,60.0,10,6.0,3.0,1,4,30.0,10.5,20,14,10,50.0,70.0,0.3333333333333333,1.0
Кристал Пэлас,11,5.0,4.0,6,8,40.0,9,3.0,2.0,9,4,20.0,8.0,20,10,17,40.0,30.0,8,5.5,4.0,5,2,50.0,10,4.5,3.0,6,6,30.0,10.0,18,11,8,60.0,70.0,0.5454545454545454,0.625
Лестер,9,4.5,5.0,7,8,60.0,9,3.5,6.0,11,7,70.0,8.0,18,14,19,40.0,40.0,10,5.5,5.0,7,4,50.0,10,4.5,5.0,7,6,50.0,10.0,20,13,11,50.0,60.0,0.7777777777777778,0.7
Ливерпуль,9,7.5,7.0,11,3,80.0,10,7.5,8.0,4,13,80.0,15.0,19,24,7,80.0,90.0,10,8.0,7.0,10,1,70.0,9,6.0,8.0,6,10,90.0,14.0,19,20,7,70.0,90.0,1.2222222222222223,1.0
Лидс,9,4.5,5.0,5,7,60.0,9,4.0,3.0,6,3,30.0,8.5,18,8,13,50.0,30.0,10,3.5,3.0,3,9,30.0,10,3.5,3.0,13,5,30.0,7.0,20,8,22,40.0,10.0,0.5555555555555556,0.3
Манчестер Сити,10,8.0,7.0,15,1,70.0,11,8.0,6.0,1,12,50.0,16.0,21,27,2,80.0,100.0,9,6.5,6.0,11,5,70.0,8,5.0,4.0,4,7,50.0,11.5,17,18,9,70.0,80.0,1.5,1.2222222222222223
Манчестер Юнайтед,9,5.5,5.0,7,8,60.0,9,3.5,3.0,6,3,30.0,9.0,18,10,14,50.0,30.0,10,7.0,4.0,6,2,40.0,10,3.5,5.0,9,6,50.0,10.5,20,12,11,50.0,50.0,0.7777777777777778,0.6
Норвич,10,3.5,3.0,3,7,30.0,9,2.5,1.0,10,2,10.0,6.0,19,5,17,30.0,10.0,9,3.0,3.0,4,11,30.0,10,3.0,2.0,6,2,20.0,6.0,19,6,17,30.0,10.0,0.3,0.4444444444444444
Ньюкасл Юнайтед,10,5.5,6.0,8,9,60.0,9,2.5,3.0,7,3,30.0,8.0,19,11,16,40.0,30.0,9,5.5,5.0,6,3,60.0,10,6.0,6.0,5,8,60.0,11.5,19,14,8,60.0,80.0,0.8,0.6666666666666666
Саутгемптон,9,6.5,6.0,7,3,70.0,10,5.5,5.0,8,6,50.0,12.0,19,13,11,60.0,60.0,10,6.5,8.0,9,9,80.0,9,1.0,2.0,12,2,20.0,7.5,19,11,21,40.0,20.0,0.7777777777777778,0.9
Тоттенхэм,10,6.5,6.0,7,3,60.0,8,4.5,3.0,5,5,40.0,11.0,18,12,8,60.0,70.0,9,6.5,7.0,11,5,80.0,11,7.0,7.0,4,10,60.0,13.5,20,21,9,70.0,80.0,0.7,1.2222222222222223
Уотфорд,10,3.5,4.0,6,9,40.0,8,2.5,4.0,9,4,50.0,6.0,18,10,18,30.0,20.0,9,2.0,4.0,4,9,40.0,11,3.5,2.0,10,3,20.0,5.5,20,7,19,30.0,10.0,0.6,0.4444444444444444
Челси,10,8.0,7.0,10,1,70.0,10,7.0,7.0,4,10,70.0,15.0,20,20,5,80.0,90.0,9,5.0,4.0,6,5,40.0,9,6.5,4.0,0,8,40.0,11.5,18,14,5,60.0,90.0,1.0,0.6666666666666666
Эвертон,8,3.0,3.0,3,5,40.0,9,2.5,2.0,7,2,20.0,5.5,17,5,12,30.0,10.0,11,5.0,3.0,5,7,30.0,10,4.0,4.0,11,6,40.0,9.0,21,11,18,40.0,30.0,0.375,0.45454545454545453
